C_seq1	C_seq5	100.00	498	0	0	1	498	1	498	0.0	 987
C_seq1	C_seq5	100.00	14	0	0	412	425	425	412	0.008	28.2
C_seq1	seq4	100.00	498	0	0	1	498	498	1	0.0	 987
C_seq1	seq4	100.00	14	0	0	412	425	74	87	0.008	28.2
C_seq1	seq2	100.00	498	0	0	1	498	498	1	0.0	 987
C_seq1	seq2	100.00	14	0	0	412	425	74	87	0.008	28.2
C_seq1	C_seq1	100.00	498	0	0	1	498	1	498	0.0	 987
C_seq1	C_seq1	100.00	14	0	0	412	425	425	412	0.008	28.2
C_seq1	seq10	96.51	516	0	1	1	498	516	1	0.0	 906
C_seq1	seq10	100.00	14	0	0	412	425	74	87	0.008	28.2
C_seq1	C_seq3	100.00	438	0	0	1	438	1	438	0.0	 868
C_seq1	C_seq3	100.00	14	0	0	412	425	425	412	0.008	28.2
C_seq1	seq12	96.05	456	0	1	1	438	456	1	0.0	 787
C_seq1	seq12	100.00	14	0	0	412	425	14	27	0.008	28.2
C_seq1	C_seq11	96.05	456	0	1	1	438	1	456	0.0	 787
C_seq1	C_seq11	100.00	14	0	0	412	425	443	430	0.008	28.2
C_seq1	seq9	100.00	244	0	0	15	258	244	1	4e-140	 484
C_seq1	seq9	100.00	240	0	0	259	498	480	241	1e-137	 476
C_seq1	seq9	100.00	18	0	0	1	18	498	481	3e-05	36.2
C_seq1	seq9	100.00	14	0	0	412	425	314	327	0.008	28.2
C_seq1	seq6	100.00	235	0	0	264	498	235	1	1e-134	 466
C_seq1	seq6	100.00	14	0	0	412	425	74	87	0.008	28.2
C_seq1	seq7	100.00	229	0	0	270	498	229	1	4e-131	 454
C_seq1	seq7	100.00	14	0	0	412	425	74	87	0.008	28.2
C_seq1	C_seq8	100.00	225	0	0	274	498	1	225	9e-129	 446
C_seq1	C_seq8	100.00	14	0	0	412	425	152	139	0.008	28.2
seq2	C_seq5	100.00	498	0	0	1	498	498	1	0.0	 987
seq2	C_seq5	100.00	14	0	0	74	87	412	425	0.008	28.2
seq2	seq4	100.00	498	0	0	1	498	1	498	0.0	 987
seq2	seq4	100.00	14	0	0	74	87	87	74	0.008	28.2
seq2	seq2	100.00	498	0	0	1	498	1	498	0.0	 987
seq2	seq2	100.00	14	0	0	74	87	87	74	0.008	28.2
seq2	C_seq1	100.00	498	0	0	1	498	498	1	0.0	 987
seq2	C_seq1	100.00	14	0	0	74	87	412	425	0.008	28.2
seq2	seq10	96.51	516	0	1	1	498	1	516	0.0	 906
seq2	seq10	100.00	14	0	0	74	87	87	74	0.008	28.2
seq2	C_seq3	100.00	438	0	0	61	498	438	1	0.0	 868
seq2	C_seq3	100.00	14	0	0	74	87	412	425	0.008	28.2
seq2	seq12	96.05	456	0	1	61	498	1	456	0.0	 787
seq2	seq12	100.00	14	0	0	74	87	27	14	0.008	28.2
seq2	C_seq11	96.05	456	0	1	61	498	456	1	0.0	 787
seq2	C_seq11	100.00	14	0	0	74	87	430	443	0.008	28.2
seq2	seq9	100.00	244	0	0	241	484	1	244	4e-140	 484
seq2	seq9	100.00	240	0	0	1	240	241	480	1e-137	 476
seq2	seq9	100.00	18	0	0	481	498	481	498	3e-05	36.2
seq2	seq9	100.00	14	0	0	74	87	327	314	0.008	28.2
seq2	seq6	100.00	235	0	0	1	235	1	235	1e-134	 466
seq2	seq6	100.00	14	0	0	74	87	87	74	0.008	28.2
seq2	seq7	100.00	229	0	0	1	229	1	229	4e-131	 454
seq2	seq7	100.00	14	0	0	74	87	87	74	0.008	28.2
seq2	C_seq8	100.00	225	0	0	1	225	225	1	9e-129	 446
seq2	C_seq8	100.00	14	0	0	74	87	139	152	0.008	28.2
C_seq3	C_seq5	100.00	438	0	0	1	438	1	438	0.0	 868
C_seq3	C_seq5	100.00	14	0	0	412	425	425	412	0.007	28.2
C_seq3	seq4	100.00	438	0	0	1	438	498	61	0.0	 868
C_seq3	seq4	100.00	14	0	0	412	425	74	87	0.007	28.2
C_seq3	C_seq3	100.00	438	0	0	1	438	1	438	0.0	 868
C_seq3	C_seq3	100.00	14	0	0	412	425	425	412	0.007	28.2
C_seq3	seq2	100.00	438	0	0	1	438	498	61	0.0	 868
C_seq3	seq2	100.00	14	0	0	412	425	74	87	0.007	28.2
C_seq3	C_seq1	100.00	438	0	0	1	438	1	438	0.0	 868
C_seq3	C_seq1	100.00	14	0	0	412	425	425	412	0.007	28.2
C_seq3	seq12	96.05	456	0	1	1	438	456	1	0.0	 787
C_seq3	seq12	100.00	14	0	0	412	425	14	27	0.007	28.2
C_seq3	C_seq11	96.05	456	0	1	1	438	1	456	0.0	 787
C_seq3	C_seq11	100.00	14	0	0	412	425	443	430	0.007	28.2
C_seq3	seq10	96.05	456	0	1	1	438	516	61	0.0	 787
C_seq3	seq10	100.00	14	0	0	412	425	74	87	0.007	28.2
C_seq3	seq9	100.00	244	0	0	15	258	244	1	4e-140	 484
C_seq3	seq9	100.00	180	0	0	259	438	480	301	6e-102	 357
C_seq3	seq9	100.00	18	0	0	1	18	498	481	3e-05	36.2
C_seq3	seq9	100.00	14	0	0	412	425	314	327	0.007	28.2
C_seq3	seq6	100.00	175	0	0	264	438	235	61	6e-99	 347
C_seq3	seq6	100.00	14	0	0	412	425	74	87	0.007	28.2
C_seq3	seq7	100.00	169	0	0	270	438	229	61	2e-95	 335
